,Foreground information value,Mouth information value,Eyes information value,Outfit information value,Decoration information value,Creature information value,Background information value,Overlay information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,2.7150121530621574,0.5274082542630671,3.963531832930708,2.8541269383989554,6.020925838854548,4.493296513199343,4.947862376664824,0.5773364083449782,0.8839014477634202,0,0,0.4351478402835532
1,2.6073528560357366,5.006941609418847,4.824188006278269,2.8825709164131057,3.695255342281369,4.374823043319488,5.002310160687201,0.5773364083449782,5.011587974275212,0,1,0.5480166452030957
2,2.7245161073327124,4.39896913065119,5.044538396076498,5.539519529959989,5.921390165303634,4.503077533991929,5.117787378107137,7.965784284662087,2.3018704425461087,0,2,0.701784224239983
3,2.7150121530621574,3.395928676331139,3.950090477556942,2.8921782440871464,5.327710447481368,4.493296513199343,5.122805452873761,0.5773364083449782,0.8839014477634202,0,3,0.473445989776961
4,2.7083964419694353,0.5274082542630671,3.8635460907313495,2.8825709164131057,5.869859864663551,3.5717503892943054,5.947862376664824,7.587272661408357,2.3018704425461087,0,4,0.568629072340623
5,2.7150121530621574,4.004624026525447,4.878321443411748,2.8921782440871464,6.321928094887363,4.432843996289213,5.828280760912152,5.710283551513701,2.3018704425461087,0,5,0.6303097962772208
6,2.455613533510315,4.004624026525447,5.020925838854548,2.8395960741399864,6.380821783940931,4.549620119928959,2.3800705758839222,0.5773364083449782,0.8839014477634202,0,6,0.4691603720958734
7,2.7150121530621574,0.5274082542630671,3.950090477556942,2.7680761267062364,5.904008087075397,3.5717503892943054,5.058893689053568,0.5773364083449782,0.8839014477634202,0,7,0.41858713817239357
8,2.7083964419694353,0.5274082542630671,5.044538396076498,2.4564051357473984,5.869859864663551,3.330610337987163,4.965784284662087,0.5773364083449782,2.207561069935362,0,8,0.44650893452428914
9,2.7083964419694353,0.5274082542630671,3.9367731980030185,2.7680761267062364,6.310432456049533,4.342268543171538,5.054092702789747,0.5773364083449782,0.8839014477634202,0,9,0.4371682297900184
