,Accessories information value,Shoes information value,Clothes information value,Skin information value,Mouth information value,Face information value,Head information value,Background information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,4.1791879227712805,3.76219157045438,3.795859283219775,3.437525541903675,5.756330919033138,4.573466861883326,3.8698598646635514,3.461163892258534,1.9018499789079886,0,1,0.5382772806078637
1,4.717856771218502,4.442222328605074,3.834441745538826,3.394410848688886,3.9345655540513667,3.7918573526622783,4.04930764022437,3.472329083735911,1.9018499789079886,0,2,0.5197043436757937
2,4.0564911988382635,3.8762013915373785,3.6730025354342413,3.1253210507925444,3.9301603749313654,3.7641504234924366,5.573466861883326,3.461163892258534,1.2733431373143127,0,3,0.5072220142952489
3,5.553002759323611,3.5786285669991056,5.0397848661058635,3.432843996289213,4.365871442474959,4.69152262340504,3.294774043383635,3.5513104482311593,1.9018499789079886,0,4,0.548692690412804
4,4.0564911988382635,3.750493979010853,3.8996950942043145,3.4500844463780447,3.7178567712185018,5.243318260190996,5.063710705351345,3.435963338133392,1.9018499789079886,0,5,0.5348996735270534
5,1.2761356763732723,3.6152870375779536,5.740817919661812,3.394410848688886,3.330610337987163,2.294774043383635,4.04930764022437,3.0162493516450746,2.0098438333726087,0,6,0.44514876035037787
6,5.002310160687201,3.5786285669991056,3.6730025354342413,3.3913799756395075,3.330610337987163,3.8038966022851928,2.4320652135221836,3.472329083735911,2.0098438333726087,0,7,0.4756228589351036
7,4.080698059371917,3.6510877590058004,4.886832943267265,3.4004917640810643,2.013916780335185,4.573466861883326,4.321928094887363,3.472329083735911,1.2733431373143127,0,8,0.4908089798405719
8,3.9235777245413974,3.6152870375779536,3.8079321155203494,3.432843996289213,2.013916780335185,3.7918573526622783,5.573466861883326,3.0162493516450746,1.2733431373143127,0,9,0.4718172652052655
9,1.2761356763732723,3.601211852366231,5.680382065799839,3.4500844463780447,6.779917739350753,5.680382065799839,2.4320652135221836,4.339345147964772,2.0098438333726087,0,10,0.5462099753789722
10,4.080698059371917,3.3599344174671075,4.886832943267265,3.3913799756395075,3.979373349410042,3.809954113105561,4.282087830355571,3.461163892258534,1.9018499789079886,0,11,0.5137297570840405
11,4.0564911988382635,3.601211852366231,5.553002759323611,3.432843996289213,2.013916780335185,3.7918573526622783,4.04930764022437,3.472329083735911,1.2733431373143127,0,12,0.48414911694618534
12,1.2761356763732723,3.6152870375779536,6.321928094887363,3.394410848688886,3.9301603749313654,3.9411986463838136,3.294774043383635,3.435963338133392,1.2733431373143127,0,13,0.4723553782956172
13,1.2761356763732723,4.522840788813359,5.553002759323611,3.464345139503214,2.013916780335185,3.9411986463838136,5.006941609418847,3.512925319948276,2.0098438333726087,0,14,0.4850299912694736
14,3.590744853315162,3.3451978742102093,3.834441745538826,3.437525541903675,2.013916780335185,3.1975999598851605,5.173970213500261,3.0162493516450746,1.2733431373143127,0,15,0.4475591432508935
15,1.2761356763732723,3.6510877590058004,7.764150423492437,3.1253210507925444,3.330610337987163,5.636660688370521,4.321928094887363,3.461163892258534,1.2733431373143127,0,16,0.5243771919144457
16,4.414268267034073,3.750493979010853,5.740817919661812,3.4004917640810643,2.013916780335185,3.1975999598851605,2.4320652135221836,3.512925319948276,2.0098438333726087,0,17,0.4721883642671443
17,1.2761356763732723,3.750493979010853,3.795859283219775,3.5700359564830535,5.184424571137428,6.55979192498625,5.063710705351345,3.0162493516450746,1.2733431373143127,0,18,0.5189482094334011
18,4.080698059371917,3.3451978742102093,3.795859283219775,3.394410848688886,4.321928094887363,2.294774043383635,2.4320652135221836,3.435963338133392,2.0098438333726087,0,19,0.45108828282551566
