,Antenna information value,Hats information value,Faces information value,Heads information value,Body information value,Backgrounds information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,4.270904091862896,6.265344566520995,6.158429362604483,4.092955525127201,6.587272661408357,3.9170249727422317,0.0,0,0,0.5013531506911527
1,5.454822365384707,6.673002535434241,6.0397848661058635,3.787866492466244,6.265344566520995,3.4707287562940685,0.0,0,1,0.5077557579234321
2,4.356975041986563,6.7027498788282935,6.356975041986563,3.7641504234924366,5.519528054772523,3.4297313844218773,0.0,0,2,0.4827386780527397
3,4.673002535434241,5.861447624847352,5.442222328605074,5.9839316313723465,5.717856771218502,3.6510877590058004,0.0,0,3,0.5019558503809147
4,4.442222328605074,5.467533417134262,5.442222328605074,3.828280760912152,6.930160374931366,4.316168825598678,0.0,0,4,0.4874887934734871
5,4.28771237954945,5.573466861883326,5.629500896797655,3.7641504234924366,5.779917739350753,3.4803574574918454,0.0,0,5,0.45686340136667236
6,4.356975041986563,6.587272661408357,6.356975041986563,3.8365012677171206,6.405069330187608,4.594225422050124,0.0,0,6,0.5148929773302993
7,4.539519529959989,6.0397848661058635,5.6152870375779536,4.351074440546879,5.392894616241506,3.6047177958677663,0.0,0,7,0.4733365788533611
8,5.137965260044767,5.795859283219775,6.380821783940931,3.8365012677171206,5.392894616241506,3.4707287562940685,0.0,0,8,0.48089074161387363
9,5.168771306825942,6.733123527871812,6.0782590139204995,4.092955525127201,5.658355759469839,4.486812479629145,0.0,0,9,0.5161948905610625
10,4.411195432984449,6.333516069162574,5.795859283219775,4.480357457491845,6.117787378107137,3.4707287562940685,0.0,0,10,0.4904184817178254
11,4.299027692777283,7.480357457491845,5.930160374931366,3.8365012677171206,6.0397848661058635,5.321928094887363,0.0,0,11,0.5272416374613278
12,4.28771237954945,5.254289378011999,5.380821783940931,4.405069330187608,5.779917739350753,4.461163892258535,0.0,0,12,0.4737482785749038
13,4.356975041986563,6.733123527871812,5.629500896797655,3.7641504234924366,6.265344566520995,3.6047177958677663,0.0,0,13,0.4863227942254414
14,4.423526234895169,6.673002535434241,6.097887820669432,3.9345655540513667,5.844768883700721,3.925768605814208,0.0,0,14,0.4950660102883621
15,4.9839316313723465,6.733123527871812,5.673002535434241,3.7563309190331373,5.9839316313723465,3.4297313844218773,0.0,0,15,0.4896271208534176
16,4.764150423492437,5.254289378011999,6.158429362604483,3.8868329432672653,5.811978948583052,3.6510877590058004,0.0,0,16,0.47307206735925333
17,4.811978948583052,6.965784284662087,6.356975041986563,4.282087830355571,5.658355759469839,3.6510877590058004,0.0,0,17,0.5083120355873689
18,4.423526234895169,6.454822365384707,6.733123527871812,3.7563309190331373,5.5328248773859805,4.473931188332412,0.0,0,18,0.5026769991338723
