,Horn information value,Garmet information value,Mask information value,Background information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,3.657249019701624,2.5790498078512645,3.609461120747359,3.2301153286118236,0.0,0,0,0.4502502181512249
1,3.6912853437010402,2.9255255103509636,3.4423511349121005,3.2301153286118236,0.0,0,1,0.45759843104925346
2,5.60584986719498,2.9255255103509636,3.9504980385824258,3.394837673709468,0.0,0,2,0.546693240822316
3,3.6912853437010402,2.5790498078512645,5.5217856024065055,3.1595936373054156,0.0,0,3,0.5148422207948226
4,3.4423511349121005,2.5790498078512645,3.609461120747359,3.1333620957322363,0.0,0,4,0.43951893013065524
5,3.6912853437010402,4.391725061842132,3.4423511349121005,3.0402526913407546,0.0,0,5,0.501547379925873
6,3.4423511349121005,3.370122807356921,3.5116137973492143,3.0402526913407546,0.0,0,6,0.4601831286285818
7,4.982919516274803,3.2667124822753943,3.7066742367144667,3.1595936373054156,0.0,0,7,0.520495727516912
8,4.982919516274803,4.710547245861673,3.4423511349121005,3.6722772289339556,0.0,0,8,0.5787642002476608
9,3.683652018798613,3.370122807356921,3.609461120747359,5.823441302267606,0.0,0,9,0.5676966069823863
10,4.982919516274803,3.2667124822753943,3.4815217321927783,3.6722772289339556,0.0,0,10,0.5303964746526473
11,3.4423511349121005,2.9255255103509636,4.6130814364260555,3.037817762423701,0.0,0,11,0.48271773386901856
12,3.9876112115995253,2.9255255103509636,3.932293443204835,3.0402526913407546,0.0,0,12,0.47813485544292605
13,3.683652018798613,2.9255255103509636,3.445575035786387,3.2301153286118236,0.0,0,13,0.45744659845001656
14,4.105047814137822,3.130764984246197,3.4815217321927783,3.6722772289339556,0.0,0,14,0.4954869709770723
15,3.9876112115995253,3.2497060569697047,7.342815461361186,3.2301153286118236,0.0,0,15,0.6132719916536107
16,3.4423511349121005,2.9255255103509636,3.445575035786387,2.9390932753101766,0.0,0,16,0.4391167724521296
17,3.6912853437010402,3.2667124822753943,3.7066742367144667,3.6722772289339556,0.0,0,17,0.4936736095651694
18,3.5527385307354176,3.6349962128544964,3.4423511349121005,3.0402526913407546,0.0,0,18,0.4707197639106237
19,3.6912853437010402,2.5790498078512645,4.501513207380244,3.394837673709468,0.0,0,19,0.48781082272477166
