,Body information value,Outerwear information value,Eyes information value,Species information value,Shoes information value,Background information value,Head information value,Attitude information value,Headwear information value,Eyewear information value,Underfoot information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,3.1430541367175673,5.092955525127201,3.1597180585730555,3.0673340518542216,6.6152870375779536,2.5303223701828106,1.907792561902911,2.3025820060825506,1.6966576055126692,0.29760841569194924,0.051997284787553964,1.5803532474685666,0,0,0.5195396762039922
1,2.6556259667142674,5.710283551513701,6.002310160687201,3.0673340518542216,0.9805115704086398,3.6896598793878495,1.9340141705014147,2.3140150132440973,1.6966576055126692,0.29760841569194924,0.051997284787553964,1.1956159645586584,0,1,0.48897382946789153
2,3.3378856687903387,0.31096927281512715,3.343732465205711,2.782893391916608,4.729291666280785,2.5942254220501244,1.9340141705014147,2.3140150132440973,4.80793211552035,0.29760841569194924,0.051997284787553964,1.5803532474685666,0,2,0.46401405490541525
3,3.5530027593236113,0.31096927281512715,2.3681041409461954,4.1053180261449205,0.9805115704086398,2.582944140186851,1.9153914246821906,2.3025820060825506,1.6966576055126692,5.673002535434241,0.051997284787553964,2.7074538120496614,0,3,0.4667073837904133
4,3.5530027593236113,0.31096927281512715,3.1597180585730555,2.782893391916608,4.8656476133766375,2.6117553466077004,1.907792561902911,2.354759487354735,5.405069330187608,0.29760841569194924,0.051997284787553964,1.5803532474685666,0,4,0.4771761428999123
5,3.2848973639423953,0.31096927281512715,3.343732465205711,3.7700429914156373,4.714065192056127,2.582944140186851,1.907792561902911,2.3090019204430923,1.6966576055126692,0.29760841569194924,6.764150423492437,1.5803532474685666,0,5,0.5379871725132099
6,3.2611889370296834,0.31096927281512715,3.235144328745296,2.5088139035410735,5.092955525127201,2.5942254220501244,1.9340141705014147,2.3025820060825506,5.243318260190996,0.29760841569194924,6.764150423492437,4.2405884674354235,0,6,0.6242863314113799
7,3.669326877290843,5.122805452873761,3.235144328745296,4.454822365384707,0.9805115704086398,3.6896598793878495,8.158429362604483,2.3090019204430923,6.333516069162574,0.29760841569194924,0.051997284787553964,1.5803532474685666,0,7,0.658942799443136
8,3.3378856687903387,0.31096927281512715,2.3681041409461954,3.291945228671648,4.714065192056127,2.6117553466077004,1.9153914246821906,2.3025820060825506,5.6152870375779536,5.895394956770689,0.051997284787553964,1.5803532474685666,0,8,0.5616714574680617
9,5.102837036641166,0.31096927281512715,2.3681041409461954,2.968040258602455,4.8656476133766375,2.5942254220501244,2.6339716008428806,2.354759487354735,6.28771237954945,5.756330919033138,9.828280760912152,1.5803532474685666,0,9,0.7707634142970892
10,3.669326877290843,0.31096927281512715,3.343732465205711,4.454822365384707,0.9805115704086398,2.5303223701828106,8.333516069162574,2.3090019204430923,5.405069330187608,0.29760841569194924,0.051997284787553964,1.1956159645586584,0,10,0.5432787540926254
11,5.102837036641166,0.31096927281512715,6.002310160687201,4.454822365384707,5.0782590139204995,3.6259342817774622,7.50635266602479,2.3140150132440973,6.795859283219775,0.29760841569194924,9.039784866105864,4.2405884674354235,0,11,0.9048893718518684
