,Body information value,Accesories information value,Face information value,Eyewear information value,Eyes information value,Mouth information value,Head information value,Role information value,Fur information value,Special information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,6.55979192498625,0.23939580539097513,1.4077462998850927,1.0810032301907997,2.3147325934831584,3.368849142274855,4.921390165303634,3.010424979419093,5.0685438590872876,0.000721527917459226,0.000721527917459226,0,0,0.4911619320917133
1,6.629500896797655,5.601211852366231,4.34519787421021,3.294774043383635,3.2108967824986188,4.125321050792545,6.117787378107137,3.048113850300326,5.587272661408357,0.000721527917459226,0.000721527917459226,0,1,0.736769900266785
2,1.3364276645824773,0.23939580539097513,5.651087759005801,4.254289378011999,3.1152848709039667,3.173970213500261,6.0303245368567975,1.2947740433836354,2.7466157641999254,0.000721527917459226,0.000721527917459226,0,2,0.48888449016160684
3,6.573466861883326,0.23939580539097513,4.34519787421021,4.254289378011999,3.204233052217608,3.3075728019102923,1.2870081105382027,3.1379652600447674,2.7466157641999254,0.000721527917459226,0.000721527917459226,0,3,0.5108950428308592
4,6.5328248773859805,0.23939580539097513,1.4077462998850927,4.254289378011999,2.3147325934831584,3.1090475285429777,1.2870081105382027,1.2947740433836354,7.28771237954945,0.000721527917459226,0.000721527917459226,0,4,0.48687163218600144
5,1.3364276645824773,0.23939580539097513,4.740817919661812,1.0810032301907997,3.624154275332176,3.368849142274855,4.878321443411748,3.048113850300326,5.063710705351345,0.000721527917459226,0.000721527917459226,0,5,0.48078354545061736
6,7.861447624847352,0.23939580539097513,1.4077462998850927,3.244685095954902,4.176576709314742,3.040971781056306,1.2870081105382027,3.048113850300326,2.734083085633085,0.000721527917459226,0.000721527917459226,0,6,0.474800304265572
7,1.3364276645824773,0.23939580539097513,1.4077462998850927,1.0810032301907997,4.662003536484984,7.6152870375779536,1.2870081105382027,10.965784284662087,10.965784284662087,13.287712379549449,10.965784284662087,1,7,3.453546370572103
8,6.795859283219775,0.23939580539097513,1.4077462998850927,5.587272661408357,4.662003536484984,4.248793390257147,6.097887820669432,1.2947740433836354,2.734083085633085,0.000721527917459226,0.000721527917459226,0,8,0.5806375689926289
9,6.795859283219775,0.23939580539097513,5.270904091862896,4.254289378011999,4.662003536484984,5.016249351645075,1.2870081105382027,3.048113850300326,7.28771237954945,0.000721527917459226,0.000721527917459226,0,9,0.6648067923741616
10,6.861447624847352,5.828280760912152,2.6073528560357366,1.0810032301907997,3.204233052217608,3.368849142274855,7.930160374931366,3.010424979419093,5.058893689053568,0.000721527917459226,0.000721527917459226,0,10,0.6839296320582058
11,6.861447624847352,6.930160374931366,2.6073528560357366,1.0810032301907997,3.1152848709039667,5.016249351645075,6.34519787421021,1.2947740433836354,5.044538396076498,0.000721527917459226,0.000721527917459226,0,11,0.6724353652119162
12,5.974829424265094,0.23939580539097513,6.368849142274855,1.0810032301907997,4.662003536484984,4.259806382979565,5.0782590139204995,1.2947740433836354,2.734083085633085,0.000721527917459226,0.000721527917459226,0,12,0.5564983026743696
13,6.34519787421021,0.23939580539097513,5.411195432984449,3.244685095954902,3.204233052217608,3.3748230433194877,1.2870081105382027,3.077041035763828,2.7466157641999254,0.000721527917459226,0.000721527917459226,0,13,0.5079882836614615
14,6.828280760912152,0.23939580539097513,4.34519787421021,4.254289378011999,4.092955525127201,3.352547329945754,1.2870081105382027,1.2947740433836354,5.044538396076498,0.000721527917459226,0.000721527917459226,0,14,0.539747465066019
15,9.480357457491845,0.23939580539097513,4.698997743967186,1.0810032301907997,4.155855418940657,3.3748230433194877,1.2870081105382027,1.2947740433836354,2.734083085633085,0.000721527917459226,0.000721527917459226,0,15,0.49773608251899076
16,1.3364276645824773,0.23939580539097513,2.6073528560357366,2.446934455954395,2.3147325934831584,4.125321050792545,1.2870081105382027,1.2947740433836354,5.063710705351345,0.000721527917459226,0.000721527917459226,0,16,0.36375555875815113
17,1.3364276645824773,0.23939580539097513,4.740817919661812,4.254289378011999,4.176576709314742,4.248793390257147,4.848920526971188,3.077041035763828,5.058893689053568,0.000721527917459226,0.000721527917459226,0,17,0.5615577489946277
18,6.1791879227712805,0.23939580539097513,1.4077462998850927,1.0810032301907997,3.2108967824986188,4.259806382979565,6.107803289534515,1.2947740433836354,5.058893689053568,0.000721527917459226,0.000721527917459226,0,18,0.5063959671933198
