,Background information value,Revamped information value,Clothes information value,Tattoo information value,Shape information value,Mask information value,Item information value,Hair information value,Base information value,Aura information value,Hat information value,Experience information value,Level information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,3.428843298803874,0.7209108133722891,5.5636858410907415,3.7178567712185018,1.5851686147354918,4.866248611111173,1.325539348439741,2.321928094887362,2.0,1.6496644084755505,2.1310875137917145,0.3198685727090678,0.3198685727090678,0.6396758601962528,0,0,0.41328807761364567
1,4.129283016944966,0.7209108133722891,3.6698513983076695,1.1727616536118475,1.5851686147354918,5.773139206719691,4.321928094887363,2.321928094887362,2.0,1.6425686439142644,5.151087387263315,0.3198685727090678,0.3198685727090678,0.6396758601962528,0,1,0.45622001663086975
2,4.129283016944966,0.7209108133722891,5.151087387263315,1.1727616536118475,1.5851686147354918,5.54432051622381,1.325539348439741,2.321928094887362,2.0,1.6496644084755505,5.866248611111173,0.3198685727090678,0.3198685727090678,0.6396758601962528,0,2,0.4424162368229895
3,3.5932301167047567,2.0954195650786827,5.038429586493853,1.1727616536118475,1.5851686147354918,5.866248611111173,1.325539348439741,2.321928094887362,2.0,1.6496644084755505,5.36374827058199,0.3198685727090678,0.3198685727090678,0.6396758601962528,0,3,0.44978246022131096
4,3.3637482705819894,0.7209108133722891,4.84832670311391,5.573466861883326,1.5851686147354918,5.058893689053568,1.325539348439741,2.321928094887362,2.0,1.6425686439142644,5.478518457828064,0.3198685727090678,0.3198685727090678,0.6396758601962528,0,4,0.4755458802541951
5,3.428843298803874,0.7209108133722891,5.203283598388744,1.1727616536118475,1.584550361012343,4.959358015502654,1.325539348439741,2.321928094887362,2.0,1.6425686439142644,2.1310875137917145,0.3198685727090678,0.3198685727090678,0.6396758601962528,0,5,0.37518734768593287
6,3.807354922057604,0.7209108133722891,5.058893689053568,5.818942896332816,1.5851686147354918,5.818942896332816,1.325539348439741,2.321928094887362,2.0,1.6425686439142644,5.151087387263315,0.3198685727090678,0.3198685727090678,0.6396758601962528,0,6,0.4935453626950506
7,3.5932301167047567,0.7209108133722891,5.226244746832054,1.1727616536118475,1.5851686147354918,5.36374827058199,4.54432051622381,2.321928094887362,2.0,1.6425686439142644,4.927649155775316,0.3198685727090678,0.3198685727090678,0.6396758601962528,0,7,0.4644600648433814
8,3.428843298803874,2.0954195650786827,5.226244746832054,1.1727616536118475,1.584550361012343,5.830624701380452,4.54432051622381,2.321928094887362,2.0,1.6425686439142644,4.927649155775316,0.3198685727090678,0.3198685727090678,0.6396758601962528,0,8,0.48710864508805224
9,4.129283016944966,2.0954195650786827,5.011587974275212,3.8752937507141794,1.5851686147354918,5.54432051622381,4.428843298803874,2.321928094887362,2.0,2.6541981339961835,5.36374827058199,0.3198685727090678,0.3198685727090678,0.6396758601962528,0,9,0.5443236109417657
