,Hair information value,Eyewear information value,Eyes information value,Clothes information value,Background information value,Weapon information value,Skin information value,Mouth information value,Hat information value,KILLER GF information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,5.24551792394125,6.532680600667936,4.653534995542322,5.393616562930384,4.2525726814752005,4.214191589747345,2.621217275269593,4.988360084444126,0.8589088329889235,0.001299140151623669,1.0106128912912533,0,1,0.49510646211492926
1,5.34003552272554,0.9434307415436816,5.2739463322677675,5.806056950723189,4.425152136363491,4.355142415115749,5.34003552272554,4.735173464566679,0.8589088329889235,0.001299140151623669,1.8028171221869438,0,2,0.48402093082654546
2,4.821710215034674,4.490369795809971,4.653534995542322,5.449264592480298,4.425152136363491,5.507145508560798,1.680634188326186,5.124098123526391,5.30294620399032,0.001299140151623669,2.209894014210529,0,3,0.543574986611743
3,4.94771809994678,4.913770768023442,5.7155446578177465,5.558675809200881,3.910977553131761,5.913770768023442,1.680634188326186,5.111216832229659,5.541293730972644,0.001299140151623669,2.209894014210529,0,4,0.5664645474822093
4,5.060811878792416,4.469670803142136,4.498733268744598,6.532680600667936,4.2525726814752005,5.959213738784609,1.680634188326186,5.111216832229659,7.433144927117022,0.001299140151623669,2.209894014210529,0,5,0.5876901212407686
5,4.775250903942014,0.9434307415436816,4.295641403367086,6.266786540694901,3.910977553131761,5.924998023446696,1.680634188326186,4.725325678610332,0.8589088329889235,0.001299140151623669,1.8028171221869438,0,6,0.4380123247841835
6,5.036254774548437,4.875149473996134,5.7058295029845345,5.183531037045549,3.922183007839642,4.355142415115749,1.680634188326186,5.012108687216735,5.8915750219092455,0.001299140151623669,2.209894014210529,0,7,0.5461586933661633
7,4.913770768023442,4.469670803142136,5.7058295029845345,5.238497496263478,4.133835134891678,5.124098123526391,2.7841682526736955,5.913770768023442,0.8589088329889235,0.001299140151623669,1.0106128912912533,0,8,0.49986113997988757
8,4.94771809994678,5.137095464055265,5.7058295029845345,5.4014360673896835,4.2525726814752005,4.355142415115749,1.680634188326186,5.7550730220043835,5.2525726814752005,0.001299140151623669,2.209894014210529,0,9,0.5564369622628078
9,4.976630791862019,0.9434307415436816,4.453322809054652,7.2525726814752005,3.910977553131761,4.7155446578177465,2.621217275269593,5.124098123526391,0.8589088329889235,0.001299140151623669,1.8028171221869438,0,10,0.45637068360869476
10,5.183531037045549,0.9434307415436816,4.461473650175516,6.515607087308995,4.343797441521739,5.658211482751795,2.7841682526736955,4.959213738784609,6.532680600667936,0.001299140151623669,1.0106128912912533,0,11,0.5277402632763658
11,5.036254774548437,4.486206170868435,4.653534995542322,5.210752505780573,4.405361770603483,4.7155446578177465,2.2508057553010126,5.111216832229659,0.8589088329889235,0.001299140151623669,1.0106128912912533,0,12,0.4698110175548969
12,5.378103563559059,0.9434307415436816,5.7058295029845345,5.1701105212832275,4.343797441521739,5.124098123526391,3.532680600667936,5.111216832229659,0.8589088329889235,0.001299140151623669,1.8028171221869438,0,13,0.4726964966743213
13,5.183531037045549,0.9434307415436816,5.7058295029845345,5.30294620399032,3.973713308479724,4.197077568883497,1.680634188326186,4.982483518107456,4.959213738784609,0.001299140151623669,1.0106128912912533,0,14,0.47230411401231276
14,6.902630210418241,0.9434307415436816,4.183531037045549,4.6349791765140775,4.405361770603483,4.163446791002217,1.680634188326186,5.073248982030639,5.018107427838178,0.001299140151623669,1.0106128912912533,0,15,0.4732565519906581
15,4.842848982092825,4.469670803142136,4.461473650175516,5.8915750219092455,4.343797441521739,5.970801713059821,3.532680600667936,4.875149473996134,0.8589088329889235,0.001299140151623669,1.0106128912912533,0,16,0.5011602217082737
16,5.332540986178616,4.465566404809399,4.433144927117022,5.34003552272554,3.973713308479724,6.325085181259569,4.8915750219092455,5.073248982030639,0.8589088329889235,0.001299140151623669,1.0106128912912533,0,17,0.5191720533897666
17,5.079507972502321,4.469670803142136,4.256113039180449,5.190288403220858,4.343797441521739,6.325085181259569,5.347569195410947,5.124098123526391,5.541293730972644,0.001299140151623669,2.209894014210529,0,18,0.5961394496766743
18,5.5762698692156185,0.9434307415436816,5.137095464055265,5.425152136363491,4.133835134891678,4.811255857397508,5.34003552272554,5.006134786172102,0.8589088329889235,0.001299140151623669,1.8028171221869438,0,19,0.4859409365395484
19,5.060811878792416,4.486206170868435,4.453322809054652,5.515607087308995,4.133835134891678,4.811255857397508,2.2508057553010126,4.988360084444126,5.30294620399032,0.001299140151623669,2.209894014210529,0,20,0.5379519585490941
