,Gender information value,Background information value,Eyewear information value,Hats information value,Clothing information value,Mouth information value,Fur information value,Eyes information value,Earring information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,1.0,3.022097333064992,3.380821783940931,5.184424571137428,5.392894616241506,4.676687582242097,4.321928094887363,1.6789955255288762,0.3778192957794075,1.7312063248775211,0,0,0.4926360127753699
1,1.0,2.99884630538363,0.6987635592347685,5.869859864663551,5.965784284662087,4.0350469470992,4.321928094887363,3.6896598793878495,0.3778192957794075,1.1555339986339044,0,1,0.48217011062126924
2,1.0,2.99884630538363,5.836501267717121,2.230397501766746,2.432843996289213,4.840629153339797,4.662003536484984,3.20024953829911,0.3778192957794075,2.554697057863487,0,2,0.48250228418527585
3,1.0,2.99884630538363,0.6987635592347685,5.194955238629597,6.861447624847352,3.974829424265094,4.210896782498619,3.6896598793878495,0.3778192957794075,1.1555339986339044,0,3,0.4829628576664948
4,1.0,3.061300186760664,4.706511797624493,2.230397501766746,6.673002535434241,4.0303245368567975,4.662003536484984,1.6789955255288762,0.3778192957794075,1.1555339986339044,0,4,0.4735660650889773
5,1.0,2.99884630538363,3.3349711323629614,2.230397501766746,6.673002535434241,4.768076126706236,4.299027692777283,1.6789955255288762,0.3778192957794075,1.1555339986339044,0,5,0.4566059635392535
6,1.0,3.022097333064992,4.546245393148302,2.230397501766746,2.432843996289213,3.974829424265094,3.542878542049904,1.6789955255288762,4.125321050792545,1.1555339986339044,0,6,0.44367591940297596
7,1.0,3.012751907408848,0.6987635592347685,2.230397501766746,6.748553568441418,5.710283551513701,6.546245393148302,3.6896598793878495,0.3778192957794075,2.554697057863487,0,7,0.5214941987528698
8,1.0,2.99884630538363,4.706511797624493,2.230397501766746,5.921390165303634,4.140507454607221,3.519528054772523,1.6789955255288762,0.3778192957794075,1.1555339986339044,0,8,0.4440023592777648
9,1.0,3.022097333064992,0.6987635592347685,5.467533417134262,2.432843996289213,3.1405074546072203,4.665660560093073,5.580353247468567,0.3778192957794075,2.554697057863487,0,9,0.4633886957784711
10,1.0,3.022097333064992,0.6987635592347685,5.044538396076498,5.442222328605074,3.974829424265094,4.662003536484984,5.828280760912152,4.125321050792545,1.7312063248775211,0,10,0.5688908687600105
11,1.0,3.0162493516450746,3.3349711323629614,2.230397501766746,5.392894616241506,4.0303245368567975,3.519528054772523,1.6789955255288762,0.3778192957794075,1.1555339986339044,0,11,0.41209359484736346
12,1.0,3.061300186760664,0.6987635592347685,5.148161027150656,5.580353247468567,3.079478021209661,4.166178862209418,9.480357457491845,0.3778192957794075,1.1555339986339044,0,12,0.5403686048159414
13,1.0,3.022097333064992,5.173970213500261,5.429731384421878,3.9105018491608976,5.573466861883326,3.4965494909944312,1.6789955255288762,0.3778192957794075,1.7312063248775211,0,13,0.5026828876640641
14,1.0,3.012751907408848,5.173970213500261,5.895394956770689,5.947862376664824,5.710283551513701,4.173970213500261,1.6789955255288762,0.3778192957794075,1.7312063248775211,0,14,0.555648896873733
15,1.0,3.022097333064992,0.6987635592347685,5.429731384421878,5.956795501434833,4.0350469470992,4.321928094887363,3.547931769776189,4.125321050792545,1.7312063248775211,0,15,0.5423040637463011
16,1.0,2.99884630538363,4.546245393148302,2.230397501766746,5.392894616241506,4.840629153339797,3.542878542049904,1.6789955255288762,0.3778192957794075,1.1555339986339044,0,16,0.44455813591924576
17,1.0,3.009262921328968,0.6987635592347685,6.1791879227712805,3.9105018491608976,4.768076126706236,4.2792837574788685,5.493296513199343,0.3778192957794075,1.1555339986339044,0,17,0.49431487317339534
18,1.0,2.99884630538363,0.6987635592347685,2.230397501766746,2.432843996289213,5.710283551513701,3.542878542049904,3.20024953829911,0.3778192957794075,5.748553568441418,0,18,0.4473825627963909
19,1.0,2.99884630538363,0.6987635592347685,2.230397501766746,7.117787378107137,4.676687582242097,4.717856771218502,5.974829424265094,4.125321050792545,1.1555339986339044,0,19,0.5555491300481921
20,1.0,3.0162493516450746,5.304718804855139,2.230397501766746,5.461163892258535,5.717856771218502,4.173970213500261,5.636660688370521,0.3778192957794075,1.1555339986339044,0,20,0.5455952858442527
21,1.0,2.99884630538363,0.6987635592347685,5.002310160687201,4.904008087075397,3.079478021209661,4.55979192498625,5.636660688370521,0.3778192957794075,1.1555339986339044,0,21,0.47096129986651675
22,1.0,3.009262921328968,0.6987635592347685,5.044538396076498,5.411195432984449,4.783886641553699,4.173970213500261,3.547931769776189,0.3778192957794075,1.1555339986339044,0,22,0.46759384096651924
23,1.0,3.024443179176788,0.6987635592347685,4.740817919661812,5.351074440546879,3.1405074546072203,4.748553568441418,3.6896598793878495,4.125321050792545,1.7312063248775211,0,23,0.5163892165307116
24,1.0,3.0162493516450746,5.836501267717121,5.148161027150656,5.34519787421021,4.768076126706236,4.299027692777283,3.20024953829911,0.3778192957794075,1.7312063248775211,0,24,0.55597288372213
25,1.0,3.061300186760664,3.3349711323629614,2.230397501766746,2.432843996289213,5.573466861883326,4.580353247468567,1.6789955255288762,6.0397848661058635,1.1555339986339044,0,25,0.49777218379018895
26,1.0,3.061300186760664,3.3349711323629614,5.473931188332412,4.698997743967186,4.768076126706236,4.299027692777283,1.6789955255288762,0.3778192957794075,1.7312063248775211,0,26,0.48715113914300223
27,1.0,2.99884630538363,3.380821783940931,5.132894270497345,6.020925838854548,5.878321443411748,3.4965494909944312,1.6789955255288762,0.3778192957794075,1.7312063248775211,0,27,0.5075191528350024
28,1.0,3.009262921328968,3.3349711323629614,2.230397501766746,5.011587974275212,5.795859283219775,4.665660560093073,1.6789955255288762,0.3778192957794075,1.1555339986339044,0,28,0.4524976004319702
29,1.0,2.99884630538363,0.6987635592347685,5.184424571137428,6.020925838854548,4.0303245368567975,4.210896782498619,3.547931769776189,0.3778192957794075,1.1555339986339044,0,29,0.467955140267421
30,1.0,3.012751907408848,4.706511797624493,5.148161027150656,5.912672948202524,6.587272661408357,4.210896782498619,1.6789955255288762,0.3778192957794075,1.7312063248775211,0,30,0.5502694426128235
31,1.0,3.061300186760664,4.706511797624493,5.058893689053568,5.34519787421021,3.079478021209661,4.662003536484984,1.6789955255288762,0.3778192957794075,1.7312063248775211,0,31,0.49158773192189453
32,1.0,3.061300186760664,4.706511797624493,5.362899875943668,5.461163892258535,4.102837036641166,3.4965494909944312,1.6789955255288762,0.3778192957794075,1.7312063248775211,0,32,0.49603707241896094
33,1.0,3.012751907408848,3.3349711323629614,6.0782590139204995,5.956795501434833,3.1405074546072203,3.4965494909944312,1.6789955255288762,0.3778192957794075,1.7312063248775211,0,33,0.47728029233814134
34,1.0,3.009262921328968,3.380821783940931,5.473931188332412,4.698997743967186,4.768076126706236,3.3974481025283403,1.6789955255288762,0.3778192957794075,1.7312063248775211,0,34,0.47261608085498164
35,1.0,3.022097333064992,0.6987635592347685,5.539519529959989,5.011587974275212,4.102837036641166,3.3974481025283403,3.6896598793878495,0.3778192957794075,1.1555339986339044,0,35,0.44825730631113464
36,1.0,3.012751907408848,0.6987635592347685,2.230397501766746,2.432843996289213,3.079478021209661,4.166178862209418,3.3233715117570313,0.3778192957794075,5.748553568441418,0,36,0.41743266895437775
37,1.0,2.99884630538363,0.6987635592347685,6.088040034713085,5.878321443411748,3.079478021209661,3.519528054772523,5.580353247468567,0.3778192957794075,1.1555339986339044,0,37,0.4863883122864854
38,1.0,3.022097333064992,0.6987635592347685,5.467533417134262,5.912672948202524,4.783886641553699,3.519528054772523,3.3233715117570313,0.3778192957794075,1.1555339986339044,0,38,0.4685274070725957
39,1.0,2.99884630538363,0.6987635592347685,4.930160374931366,5.974829424265094,4.0303245368567975,3.3974481025283403,3.20024953829911,4.125321050792545,1.7312063248775211,0,39,0.5137761045301248
