,Beak information value,Background information value,Feathers information value,Body information value,Outerwear information value,Eyes information value,Headwear information value,Eyewear information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,1.269164437677799,2.636660688370521,2.4406550334581136,3.1202942337177118,5.710283551513701,5.740817919661812,1.7568183983555279,0.28630418515664097,0.5972778231543953,0,1,0.5455181126223392
1,1.2463954637200048,2.519528054772523,3.0291463456595165,3.1202942337177118,5.083141235300246,2.8730271437422346,1.7568183983555279,0.28630418515664097,0.5972778231543953,0,0,0.4749766402319032
2,1.2463954637200048,2.5942254220501244,3.2337864980183446,2.816037165157405,0.2669060188251848,3.0457292298551204,4.80793211552035,0.28630418515664097,0.5972778231543953,0,2,0.43752535610843135
3,2.633076351021482,2.582944140186851,3.49817873457909,4.184424571137428,0.2669060188251848,2.8730271437422346,1.7568183983555279,5.636660688370521,0.5972778231543953,0,3,0.556425512580031
4,2.633076351021482,2.6117553466077004,3.49817873457909,2.816037165157405,0.2669060188251848,2.8730271437422346,5.405069330187608,0.28630418515664097,0.5972778231543953,0,4,0.4859919851101371
5,2.633076351021482,2.582944140186851,3.1558554189406567,3.8468432119385794,0.2669060188251848,3.0457292298551204,1.7568183983555279,0.28630418515664097,2.2813863010245155,0,5,0.4597846176387831
6,1.269164437677799,2.5942254220501244,3.1791879227712805,1.498994046858991,0.2669060188251848,2.9896498118304327,5.243318260190996,0.28630418515664097,0.5972778231543953,0,6,0.41507397620072656
7,1.269164437677799,2.636660688370521,3.0291463456595165,1.498994046858991,5.122805452873761,2.9896498118304327,4.706511797624493,0.28630418515664097,2.985073455761897,0,7,0.5678877041611011
8,1.269164437677799,2.6117553466077004,3.2337864980183446,3.3378856687903387,0.2669060188251848,2.965784284662087,5.6152870375779536,5.869859864663551,0.5972778231543953,0,8,0.5966799402716458
9,1.2463954637200048,2.5942254220501244,2.4406550334581136,1.498994046858991,0.2669060188251848,2.965784284662087,4.706511797624493,5.740817919661812,0.5972778231543953,0,9,0.5107675375866609
