,Heart Number information value,Birthday information value,Headwear information value,Clothing information value,Eyes information value,Head information value,Fur information value,Nose Piercing information value,Haircut information value,Accessory information value,Earrings information value,Eyewear information value,Jewellery information value,Enhanced Background information value,Tattoos information value,Face Addition information value,Teeth information value,Implants information value,Handmade information value,Duotone information value,Gadget information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,13.0,8.245112497836532,8.093109404391482,8.045803689613125,4.39266968625039,3.6713250726720528,3.9804092716421193,0.3271327235662068,0.8813833106484918,0.23409236251138482,0.39637365501380795,0.6851335689468239,0.18722102837233973,0.09536537833184933,0.6227894696114481,0.19063379218392265,0.06630934504776641,0.015047572267632944,0.007946807147361559,0.06299407348341056,0.03927400516094189,3.3435751367222197,1,1,2.528678574204999
1,13.0,8.830074998557688,8.192645077942396,7.870716983055034,4.480363747156787,0.8448655451422454,3.5303581827604837,6.540568381362703,2.0886080121565405,8.299560281858907,0.39637365501380795,0.6851335689468239,0.18722102837233973,0.09536537833184933,0.6227894696114481,0.19063379218392265,0.06630934504776641,0.015047572267632944,0.007946807147361559,0.06299407348341056,0.03927400516094189,2.2459476324710757,1,2,2.618514750022316
2,13.0,8.356143810225275,7.714597781137751,7.678071905112637,4.2720795454368,0.8448655451422454,3.3489483088210714,0.3271327235662068,2.0886080121565405,0.23409236251138482,6.714597781137751,8.192645077942396,0.18722102837233973,0.09536537833184933,0.6227894696114481,0.19063379218392265,0.06630934504776641,0.015047572267632944,0.007946807147361559,0.06299407348341056,0.03927400516094189,2.2459476324710757,1,3,2.603266082759991
3,13.0,8.093109404391482,8.0,7.607682577221239,3.221922870464642,0.8448655451422454,5.245112497836532,0.3271327235662068,0.8813833106484918,0.23409236251138482,0.39637365501380795,0.6851335689468239,0.18722102837233973,0.09536537833184933,0.6227894696114481,0.19063379218392265,0.06630934504776641,0.015047572267632944,0.007946807147361559,0.06299407348341056,0.03927400516094189,3.3435751367222197,1,4,2.5024718770016654
4,13.0,8.912537158749661,7.385290155884792,7.714597781137751,5.2926408679191175,3.703083793120711,5.245112497836532,0.3271327235662068,0.8813833106484918,0.23409236251138482,6.733213459305099,0.6851335689468239,0.18722102837233973,0.09536537833184933,0.6227894696114481,0.19063379218392265,0.06630934504776641,0.015047572267632944,0.007946807147361559,0.06299407348341056,0.03927400516094189,1.9652010374227324,1,5,2.5807223526790275
5,13.0,8.912537158749661,7.508146903670325,7.79054663437105,4.480363747156787,3.6713250726720528,6.341788517248205,0.3271327235662068,0.8813833106484918,0.23409236251138482,0.39637365501380795,7.022720076500083,6.508146903670325,3.96657699846255,0.6227894696114481,0.19063379218392265,0.06630934504776641,0.015047572267632944,0.007946807147361559,0.06299407348341056,0.03927400516094189,2.2459476324710757,1,6,2.664543266445095
6,13.0,8.245112497836532,6.327574658028505,7.830074998557688,3.712287620450551,3.6713250726720528,5.476438043942987,8.830074998557688,0.8813833106484918,0.23409236251138482,0.39637365501380795,0.6851335689468239,0.18722102837233973,0.09536537833184933,0.6227894696114481,0.19063379218392265,0.06630934504776641,0.015047572267632944,0.007946807147361559,0.06299407348341056,0.03927400516094189,1.9652010374227324,1,7,2.5743976821538572
7,13.0,8.830074998557688,8.0,7.540568381362703,7.540568381362703,3.7215505417795187,5.2926408679191175,5.7238755947257625,0.8813833106484918,0.23409236251138482,0.39637365501380795,0.6851335689468239,0.18722102837233973,3.96657699846255,5.468618539483688,0.19063379218392265,0.06630934504776641,0.015047572267632944,0.007946807147361559,0.06299407348341056,0.03927400516094189,2.2459476324710757,1,8,2.6630452778736022
8,13.0,8.192645077942396,6.524266569033602,7.573735245297902,3.712287620450551,0.8448655451422454,3.9804092716421193,0.3271327235662068,0.8813833106484918,0.23409236251138482,0.39637365501380795,8.415037499278844,0.18722102837233973,0.09536537833184933,5.733213459305099,0.19063379218392265,0.06630934504776641,0.015047572267632944,0.007946807147361559,0.06299407348341056,0.03927400516094189,1.71171065781903,1,9,2.5717069284840073
9,13.0,8.0,2.2359577826934127,8.356143810225275,4.39266968625039,0.8448655451422454,5.135813855345719,0.3271327235662068,0.8813833106484918,0.23409236251138482,5.468618539483688,10.0,6.508146903670325,0.09536537833184933,0.6227894696114481,0.19063379218392265,0.06630934504776641,0.015047572267632944,0.007946807147361559,0.06299407348341056,0.03927400516094189,1.71171065781903,1,10,2.6177789578017205
10,13.0,8.142019004872427,2.2359577826934127,7.327574658028505,3.614137599358539,3.8630088879197704,3.5303581827604837,0.3271327235662068,7.142019004872428,0.23409236251138482,0.39637365501380795,7.385290155884792,0.18722102837233973,0.09536537833184933,5.800327655163636,0.19063379218392265,0.06630934504776641,0.015047572267632944,0.007946807147361559,0.06299407348341056,0.03927400516094189,1.71171065781903,1,11,2.596126834163793
11,13.0,8.299560281858907,7.093109404391481,7.245112497836532,4.480363747156787,0.8448655451422454,3.9804092716421193,6.192645077942395,2.0886080121565405,0.23409236251138482,0.39637365501380795,0.6851335689468239,6.977632186971546,0.09536537833184933,0.6227894696114481,0.19063379218392265,0.06630934504776641,0.015047572267632944,0.007946807147361559,0.06299407348341056,0.03927400516094189,2.2459476324710757,1,12,2.5922094853063493
