,Head information value,Eyes information value,Body information value,Type information value,Background information value,Neck information value,Ear information value,Forehead information value,Face information value,Mouth information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,6.011587974275212,4.39896913065119,2.372579930598799,0.3545750112927367,2.815021540306669,1.2022399203681664,0.8357286023192589,0.5324074912870508,1.3591940042915596,1.2368434162587132,5.52616114710497,0,1,0.4390959564978201
1,5.710283551513701,4.442222328605074,2.372579930598799,0.3545750112927367,2.7779373752225123,3.7254699553283768,3.710283551513701,4.3364276645824775,3.9862161845669,1.2368434162587132,3.266732440645238,0,2,0.59192929822509
2,5.405069330187608,3.1857367086002184,2.372579930598799,0.3545750112927367,2.8180705623099334,3.8079321155203494,0.8357286023192589,0.5324074912870508,4.23242994404826,3.715959736045904,1.6551715030025587,0,3,0.4765097748429395
3,5.764150423492437,3.196276993225842,2.7112280327525977,2.1982618984335422,2.795859283219775,2.862496476250065,3.4564051357473984,0.5324074912870508,4.23242994404826,1.2368434162587132,1.6551715030025587,0,4,0.5049508942118314
4,6.405069330187608,5.310432456049533,2.798868033092113,0.3545750112927367,2.815021540306669,1.2022399203681664,3.710283551513701,0.5324074912870508,4.512925319948276,1.2368434162587132,1.392894616241506,0,5,0.49885405003225997
5,5.828280760912152,5.184424571137428,2.7112280327525977,0.3545750112927367,2.829305766312917,2.853084151912725,3.710283551513701,4.339345147964772,1.3591940042915596,3.7178567712185018,3.266732440645238,0,6,0.5957976287087906
6,6.442222328605074,3.1857367086002184,2.372579930598799,0.3545750112927367,2.8180705623099334,1.2022399203681664,0.8357286023192589,0.5324074912870508,1.3591940042915596,2.8541269383989554,2.5924840880536992,0,7,0.4045562954342204
7,5.787866492466244,4.442222328605074,3.2229696147991937,0.3545750112927367,2.829305766312917,3.7254699553283768,0.8357286023192589,0.5324074912870508,1.3591940042915596,1.2368434162587132,2.5924840880536992,0,8,0.4436073059086719
8,5.467533417134262,5.310432456049533,2.7112280327525977,0.3545750112927367,2.815021540306669,3.733123527871812,3.6933877756246023,0.5324074912870508,1.3591940042915596,3.7178567712185018,1.6551715030025587,0,9,0.5166248438370131
9,2.6674925540419627,4.5328248773859805,2.372579930598799,0.3545750112927367,2.829305766312917,3.8079321155203494,0.8357286023192589,4.339345147964772,4.23242994404826,3.715959736045904,1.6551715030025587,0,10,0.5165163055437791
