,Eyes information value,Mouth information value,Clothes information value,Fur information value,Background information value,Earring information value,Hat information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,5.362899875943668,5.587272661408357,4.601211852366231,5.237863830098888,2.9736956756480915,3.5030775339919287,2.148161027150656,0.9096885286239633,0,0,0.54324986503092
1,7.673002535434241,3.809954113105561,5.480357457491845,5.237863830098888,2.9736956756480915,0.5098406597162803,2.148161027150656,1.9770995978899213,0,1,0.5340434553030806
2,4.359934417467107,3.816037165157405,2.4065984188743528,5.237863830098888,2.9816506901211084,0.5098406597162803,5.0397848661058635,1.9770995978899213,0,2,0.47167864199366194
3,2.5445609854369495,5.629500896797655,5.622376462364273,4.622376462364273,2.953439094242259,0.5098406597162803,2.148161027150656,1.9770995978899213,0,3,0.4659198095607913
4,3.816037165157405,5.374823043319488,4.904008087075397,3.684086034563258,3.009262921328968,0.5098406597162803,6.546245393148302,0.9096885286239633,0,4,0.5151255982439891
5,5.362899875943668,4.307572801910292,6.158429362604483,2.86775220170156,3.0081017984969645,0.5098406597162803,5.435963338133392,0.9096885286239633,0,5,0.5116547022278077
6,4.618827395283202,2.1379652600447674,6.148161027150656,3.974829424265094,2.962406924459767,0.5098406597162803,5.411195432984449,0.9096885286239633,0,6,0.47784325728150195
7,4.5328248773859805,2.1379652600447674,5.380821783940931,3.684086034563258,3.0954195650786827,0.5098406597162803,5.993091630657823,0.9096885286239633,0,7,0.47015459596373677
8,4.836501267717121,2.1379652600447674,2.4065984188743528,5.04930764022437,2.9816506901211084,4.5096352500140915,4.1127866970487705,0.9096885286239633,0,8,0.4827021270351959
9,3.7350432820351775,5.20024953829911,5.811978948583052,2.86775220170156,2.953439094242259,3.6029637591278236,4.573466861883326,2.4088950949352212,0,9,0.558117779838131
10,4.908334012478187,2.1379652600447674,4.904008087075397,5.539519529959989,2.9816506901211084,0.5098406597162803,6.392894616241506,0.9096885286239633,0,10,0.5067039632582153
11,3.5631985264295,4.512925319948276,5.499809820158018,2.8868329432672653,3.0954195650786827,0.5098406597162803,7.117787378107137,0.9096885286239633,0,11,0.5033288157582572
12,4.187050040544251,5.587272661408357,5.608232280044003,2.86775220170156,3.0081017984969645,0.5098406597162803,4.573466861883326,0.9096885286239633,0,12,0.48820686887153497
