,tier information value,face information value,shirt information value,hats information value,body information value,Trait count information value,Unique Trait count,Token Id,Rarity score
0,2.5111646202258218,5.462475127311233,5.631602398547492,7.092829530846403,0.0,0.0,0,0,0.501501612559029
1,2.5111646202258218,5.34601615072385,6.412289370143016,6.682741247539292,0.0,0.0,0,1,0.5076592622774521
2,3.3270041821980465,5.387836326418477,6.424673094598848,7.610228747754925,0.0,0.0,0,2,0.551212337670566
3,1.9422475988731256,5.254748093156536,5.682741247539292,5.494751530334989,0.0,0.0,0,3,0.4452026131436445
4,2.325552048164134,5.2996605150321106,5.751272629210108,5.2996605150321106,0.0,0.0,0,4,0.452511583439282
5,2.325552048164134,5.561554901019235,5.798838312462164,5.589167132227095,0.0,0.0,0,5,0.46702417977214045
6,1.9422475988731256,5.34601615072385,5.6031739902209745,6.856389335024322,0.0,0.0,0,6,0.4784777672602361
7,1.9422475988731256,5.254748093156536,5.646029469182771,5.488238223376315,0.0,0.0,0,7,0.44415529577384655
8,3.3270041821980465,5.381787281745672,7.400011040364579,6.34013958438718,0.0,0.0,0,8,0.5439241313611284
9,2.5111646202258218,5.254748093156536,6.34013958438718,5.449764075561679,0.0,0.0,0,9,0.47382546544490767
10,3.0007240627709773,5.28265408972642,6.34013958438718,6.449764075561679,0.0,0.0,0,10,0.5105927245691947
11,2.325552048164134,5.41846794507214,5.653297469646811,5.568408572060298,0.0,0.0,0,11,0.4595279375941933
12,1.9422475988731256,5.393910840828162,6.475299167668816,5.589167132227095,0.0,0.0,0,12,0.4700652671139673
13,1.9422475988731256,5.369764753496459,5.667944245611213,5.494751530334989,0.0,0.0,0,13,0.4476308741472853
14,1.9422475988731256,5.387836326418477,5.682741247539292,6.653297469646811,0.0,0.0,0,14,0.476498118855128
15,2.325552048164134,5.2996605150321106,5.610228747754925,5.424673094598848,0.0,0.0,0,15,0.45212315480332177
16,2.325552048164134,5.488238223376315,5.617318172541244,5.705225261690671,0.0,0.0,0,16,0.46366165707159934
17,1.9422475988731256,5.501294376201761,6.488238223376315,5.561554901019235,0.0,0.0,0,17,0.47231158240860305
18,1.9422475988731256,5.430905048310363,5.728065238048783,5.568408572060298,0.0,0.0,0,18,0.45235362599706835
19,2.5111646202258218,5.265845802039866,6.5411871033252735,5.521102857281941,0.0,0.0,0,19,0.48069410954561914
20,2.325552048164134,5.35784158612064,5.798838312462164,5.475299167668816,0.0,0.0,0,20,0.459329379683894
21,1.9422475988731256,5.481754189806115,6.34013958438718,5.449764075561679,0.0,0.0,0,21,0.4655411729385061
