,Type,Stage,Rarity score,Token Id
0,Human,2,32.39336640105796,0
1,Human,2,32.39336640105796,1
2,Human,2,32.39336640105796,2
3,Human,2,32.39336640105796,3
4,Human,2,32.39336640105796,4
5,Human,2,32.39336640105796,5
6,Human,2,32.39336640105796,6
7,Human,2,32.39336640105796,7
8,Human,2,32.39336640105796,8
9,Human,2,32.39336640105796,9
10,Human,2,32.39336640105796,10
11,Human,2,32.39336640105796,11
12,Human,2,32.39336640105796,12
13,Human,2,32.39336640105796,13
14,Human,2,32.39336640105796,14
15,Human,2,32.39336640105796,15
16,Human,2,32.39336640105796,16
17,Human,2,32.39336640105796,17
18,Human,2,32.39336640105796,18
19,Human,2,32.39336640105796,19
20,Kraken,2,97.8036074617948,20
21,Human,2,32.39336640105796,21
22,Human,2,32.39336640105796,22
23,Human,2,32.39336640105796,23
24,Human,2,32.39336640105796,24
25,Human,2,32.39336640105796,25
26,Kraken,2,97.8036074617948,26
27,Human,2,32.39336640105796,27
28,Human,2,32.39336640105796,28
29,Human,2,32.39336640105796,29
30,Human,2,32.39336640105796,30
31,Human,2,32.39336640105796,31
32,Human,2,32.39336640105796,32
33,Human,2,32.39336640105796,33
34,Human,2,32.39336640105796,34
35,Human,2,32.39336640105796,35
36,Human,2,32.39336640105796,36
37,Human,2,32.39336640105796,37
38,Human,2,32.39336640105796,38
39,Alien,2,100.0,39
40,Human,2,32.39336640105796,40
41,Alien,2,100.0,41
42,Human,2,32.39336640105796,42
43,Human,2,32.39336640105796,43
44,Human,2,32.39336640105796,44
45,Kong,2,99.71760812347513,45
46,Human,2,32.39336640105796,46
47,Human,2,32.39336640105796,47
48,Human,2,32.39336640105796,48
49,Human,2,32.39336640105796,49
50,Human,2,32.39336640105796,50
51,Human,2,32.39336640105796,51
52,Human,2,32.39336640105796,52
53,Human,2,32.39336640105796,53
54,Human,2,32.39336640105796,54
55,Human,2,32.39336640105796,55
56,Human,2,32.39336640105796,56
57,Human,2,32.39336640105796,57
58,Human,2,32.39336640105796,58
59,Human,2,32.39336640105796,59
60,Human,2,32.39336640105796,60
61,Human,2,32.39336640105796,61
62,Human,2,32.39336640105796,62
63,Human,2,32.39336640105796,63
64,Human,2,32.39336640105796,64
65,Human,2,32.39336640105796,65
66,Human,2,32.39336640105796,66
67,Human,2,32.39336640105796,67
68,Human,2,32.39336640105796,68
69,Human,2,32.39336640105796,69
70,Human,2,32.39336640105796,70
71,Human,2,32.39336640105796,71
72,Human,2,32.39336640105796,72
73,Human,2,32.39336640105796,73
74,Human,2,32.39336640105796,74
75,Human,2,32.39336640105796,75
76,Kong,2,99.71760812347513,76
77,Human,2,32.39336640105796,77
78,Human,2,32.39336640105796,78
79,Human,2,32.39336640105796,79
80,Kraken,2,97.8036074617948,80
81,Human,2,32.39336640105796,81
82,Human,2,32.39336640105796,82
83,Human,2,32.39336640105796,83
84,Human,2,32.39336640105796,84
85,Human,2,32.39336640105796,85
86,Human,2,32.39336640105796,86
87,Human,2,32.39336640105796,87
88,Human,2,32.39336640105796,88
89,Human,2,32.39336640105796,89
90,Human,2,32.39336640105796,90
91,Alien,2,100.0,91
92,Human,2,32.39336640105796,92
93,Human,2,32.39336640105796,93
94,Human,2,32.39336640105796,94
95,Human,2,32.39336640105796,95
96,Human,2,32.39336640105796,96
97,Human,2,32.39336640105796,97
98,Human,2,32.39336640105796,98
99,Human,2,32.39336640105796,99
100,Shark,2,97.79315090552792,100
101,Human,1,0.0,101
102,Human,2,32.39336640105796,102
103,Human,2,32.39336640105796,103
104,Human,2,32.39336640105796,104
105,Human,2,32.39336640105796,105
106,Human,1,0.0,106
107,Human,2,32.39336640105796,107
