,Background,Offhand,Mouth,Eyes,Clothing,Hair,Type,Ear,Neck,Headgear,Face,Special,Rarity score,Token Id
0,Off White A,Monkey King Staff,Frown,Striking,Pink Oversized Kimono,Water,Human,None,None,None,None,None,10.871226193715879,0
1,Off White D,Gloves,Lipstick,Daydreaming,White Qipao with Fur,Pink Hairband,Human,None,None,None,None,None,10.354591411968464,1
2,Red,None,Chewing,Ruby,Vest,Pink Flowy,Human,Red Tassel,None,None,None,None,23.665041376432455,2
3,Red,Katana,Grass,Careless,Green Yukata,Green Spiky,Human,None,Frog Headphones,Frog Headband,None,None,42.50972576575956,3
4,Off White D,Katana,Smirk,Lightning,White Qipao with Fur,Brown Dreadlocks,Human,None,None,None,None,None,9.807192696168267,4
5,Red,Leather Katana,Chuckle,Suspicious,Red Perfecto Jacket,Blonde Swept Back,Human,None,None,None,Red Stripes Face Paint,None,26.25473662974563,5
6,Off White A,Leather Katana,Tongue Out,Calm,Alpine Jacket,Teal Bun,Human,None,None,None,None,None,10.41393207214832,6
7,Off White A,Leather Katana,Bubble Gum,Suspicious,Light Kimono,Orange Samurai,Human,None,None,Full Bandana,None,None,23.889425284570496,7
8,Off White B,None,Grass,Relaxed,Hoodie,Silver Pixie,Human,None,Choker,None,Blush,None,35.535042623886795,8
9,Off White D,Bat,Chuckle,Chill,White Yukata,Silver Spiky,Blue,None,None,None,None,None,28.39330294776265,9
10,Off White C,Sakura Katana,Chuckle,Closed,Blue Kimono,Green Samurai,Human,None,None,Black Bucket Hat,None,None,20.84271801372899,10
11,Off White D,Golden Hook Sword,Wheat Straw,Pensive,White Hoodie,Orange Swept Back,Human,None,None,None,None,None,10.774471387916531,11
12,Off White A,Sakura Katana,Relaxed,Suspicious,Black Yukata,Blonde Swept Back,Human,None,None,None,None,None,8.95418948523743,12
13,Off White A,Bat,Not Bad,Tired,Light Kimono,Teal Long,Human,None,None,None,None,None,9.585135596833227,13
14,Off White D,Guitar,Smile,Closed,Light Kimono,Blonde Bob,Human,None,None,None,Red Fang Face Paint,None,21.677943940168987,14
15,Off White C,Banner,Grin,Ruby,Hoodie,Purple Bun,Human,None,Choker,None,None,None,26.331495956234136,15
16,Red,Boombox,420,Closed,Black Perfecto Jacket,Braids,Human,Small Hoop,None,Distressed Beanie,None,None,42.40206222350816,16
17,Off White D,Bokken,Wheat Straw,Pierced Eyebrow,Denim Jacket,Silver Disheveled,Human,None,None,None,None,None,10.640382259571055,17
18,Off White D,Lantern,Closed,Determined,Red Kimono,Black Disheveled,Human,None,Chain,None,Blue Sunglasses,None,39.14435171304201,18
19,Red,Floorsweeper,Smoking,Determined,Red Qipao with Fur,Silver Bun,Human,Red Cylinder,Tribal Tattoo,None,Red Fang Face Paint,None,60.19641798365254,19
20,Off White D,Zanbato,Smirk,Bored,Camo Hoodie,Blue Half Bun,Human,None,None,None,None,None,9.327909824944678,20
