,Head,Mouth,Eyes,Skin,Species,Background,Weapon,Clothing,Fur,Rarity score,Token Id
0,PINK BRAIN,JOINT,BLACK HEARTS,BLUE,ZOMBIE,ORANGE,None,None,None,14.179389320093236,0
1,RED HAT,BLACK BANDANA,BABA VOSS,None,GORILLA,DEEP BLUE,M45,NEON GREEN COP VEST,GREY,87.58140456095283,1
2,PURPLE HAT,JOINT,GREEN X,WHITE + TATTED,ZOMBIE,DEEP BLUE,None,YELLOW T SHIRT,None,32.107812702244445,2
3,DEVIL HORNS,JOINT,CRAZY + EYE PATCH,WHITE + TATTED,ZOMBIE,GREY,AK97,RED & WHITE SCARF,None,80.6304419613929,3
4,BLUE & WHITE HEADBAND,SALIVATING,3D GLASSES,LIGHT BLUE,ZOMBIE,MUSTARD YELLOW,None,None,None,14.288401497659093,4
5,BLACK NINJA HEADBAND,JOINT,CRAZY + SCAR,PINK,ZOMBIE,MINT,AK97 RED,PRISON SHIRT,None,77.6958182861739,5
6,RED HAT,GRASS,ANGRY,None,GORILLA,TAN,ANGEL WINGS,GOLD CHAIN,BROWN,81.60278193414094,6
7,AIR POD,JOINT,GREEN X,GREY,ZOMBIE,MUSTARD YELLOW,RED SNIPER + BATTLE AXE,GOLD CROSS,None,76.52173267849103,7
8,BLUE NINJA HEADBAND,CHROME,SQUINTING,None,GORILLA,MINT,None,BLOODY WHITE COAT,BLUE,38.060961836886705,8
9,BLACK ARMY HELMET,CRAZY BLUE PILL,3D GLASSES,BLUE,ZOMBIE,MINT,GREEN RPG + SNIPER,BLACK T SHIRT,None,79.21327198672718,9
10,None,ANGRY MOUTH,3D GLASSES,BLUE,ZOMBIE,BABY BLUE,None,ZOBE LM JERSEY,None,18.53157044942221,10
11,BLUE FRKS HAT,SNARLING,SQUINTING,None,GORILLA,PURPLE,BRUEN,None,RED,69.95647475343534,11
12,GREEN FRKS HAT,LAUGHING,CRAZY + EYE PATCH,BLACK,ZOMBIE,MUSTARD YELLOW,None,RED HOODIE,None,29.885045541068706,12
13,None,ROAR,BORED,None,GORILLA,TAN,BRUEN,I HEART ZOMBIES RED T SHIRT,PINK,76.85751104583957,13
14,RED COWBOY HAT,SALIVATING,BLACK HEARTS,BLACK,ZOMBIE,ORANGE,None,GOLD CHAIN,None,28.568690087969905,14
