,Head,Stage,Type,Weapon,Mutation,Shoes,Element,Size,Pose,Rarity score,Token Id
0,Helmet,5,Russet,None,None,None,None,None,None,3.0418362278622832,0
1,Purple Bandana,5,Russet,None,None,None,None,None,None,3.0227583272711285,1
2,None,5,Purple,Bomb,Eggplant,None,None,None,None,40.46757344534988,2
3,Tam,5,Chip,None,None,Boxing,Ticket,None,None,44.1250887288738,3
4,None,5,Red,Black Light Sword,Tomato,None,Red Force,None,None,54.55160893056824,4
5,Scar,5,Aqua,Long Cat,None,None,Poop,None,None,32.87523404100383,5
6,Egg,5,Pink,Doll,None,None,Red Force,None,None,32.466441270514906,6
7,Skipper,5,Russet,Pirate Sword,None,None,None,None,None,16.168046994031737,7
8,Trucker,5,Russet,Notebook,None,None,Blue Force,None,None,30.62675221292978,8
9,Tattoo,5,Pink,None,None,Basketball,None,None,None,27.661412731940754,9
10,Shogun,5,Russet,Cold Wallet,None,None,None,None,None,16.23891388485042,10
11,Blue Headband,5,Red,Shotgun,None,None,Blue Force,None,None,31.83413386568174,11
12,Beret,5,Russet,Nunchaku,None,None,Lightning,None,None,30.899295448205876,12
13,Pigsy,5,Lava,Monster Ball,None,None,None,None,None,19.07625202093253,13
14,Pork Pie,5,Green,Whip,None,None,None,None,None,17.68075359136016,14
15,Pigsy,5,Aqua,None,None,None,Flower,None,None,19.29160434758319,15
16,Golden Spiky,5,Green,None,None,None,None,None,None,4.707227928693972,16
17,Sheriff,5,Hash Brown,None,None,None,None,None,None,6.511639642635345,17
18,Reindeer,5,Purple,None,None,Chucks,Ticket,None,None,42.26638938208626,18
19,Tam,5,Chip,None,None,None,Thunder,None,None,20.932412354248132,19
20,Skull,5,Lava,Holy Book,None,Chucks,None,None,None,41.84402940674127,20
21,Green Cap,5,Green,Magic Wand,None,None,None,None,None,17.702557530028336,21
22,Helmet,5,Green,None,None,None,Wood,None,None,19.261622840450123,22
23,Pigsy,5,Red,None,None,None,Blue Force,None,None,18.566620931538345,23
24,Gat,5,Russet,Heart,None,None,None,None,None,16.129892009896167,24
25,Tam,5,Green,None,None,None,Star,None,None,19.433338946206817,25
26,Musketeer,5,Red,Dagger,None,None,None,None,None,17.459977805570645,26
27,None,5,Chip,None,Blue Chip,None,Wind,None,None,43.41370769151392,27
28,Buns,5,Chip,None,None,None,Sound,None,None,20.910608688130445,28
29,Skull,5,Russet,None,None,School,None,None,None,25.96618703764968,29
30,Black Headband,5,Russet,Fire Sword,None,None,None,None,None,16.154427439888636,30
31,None,5,Russet,None,None,None,Earth,None,None,14.73181313083232,31
32,Party,5,Russet,None,None,None,Fire,None,None,17.697173881584096,32
33,None,5,Pink,Beer,Peach,None,Love,None,None,55.57629671938869,33
34,None,5,Alien,None,None,None,None,None,None,4.478366188896921,34
35,Bowl,5,Zombie,None,None,None,Blue Force,None,None,21.041420323503488,35
36,Green Punk,5,Lava,None,None,None,Sun,None,None,20.406364795779407,36
37,Tattoo,5,Aqua,Chainsaw,None,None,None,None,None,18.19042938411423,37
38,Helmet,5,Green,Lollipop,None,None,None,None,None,17.90152801409487,38
39,Cloak,5,Green,Axe,None,None,None,None,None,17.77614500513252,39
40,Black Pirate,5,Hash Brown,Throwing Bat,None,None,None,None,None,19.79306768504695,40
41,Red Cap,5,Aqua,Guandao,None,None,Red Force,None,None,32.545454921433816,41
42,Green Punk,5,Rainbow,None,Donut,Chucks,None,None,None,55.012157161285394,42
43,Green Cap,5,Russet,Throwing Star,None,None,None,None,None,16.16259519115385,43
44,Soldier,5,Red,None,None,None,Plasma,None,None,19.22622470547751,44
45,Red Pirate,5,Chip,Water Sword,None,None,None,None,None,19.4251461221108,45
46,Blue Headband,5,Zombie,None,None,None,Poop,None,None,21.360316559983904,46
47,Bunny,5,Hash Brown,None,None,None,None,None,None,6.683357929763516,47
48,Your Future,5,Russet,Green Light Sword,None,None,None,None,None,16.148966093933858,48
49,None,5,Purple,Pan,None,None,None,None,None,14.91707082018731,49
50,Halo,5,Zombie,Pirate Sword,None,None,None,None,None,20.035664314105535,50
51,Musketeer,5,Fries,Handbag,None,None,None,None,None,19.989323581059683,51
52,Spaceman,5,Pink,None,None,None,None,None,None,4.546412973440679,52
53,None,5,Fries,None,None,Geta,None,None,None,26.922884733214204,53
54,Blue Headband,5,Red,Scythe,None,None,None,None,None,17.479058433118034,54
55,Your Future,5,Russet,None,None,None,Sun,None,None,17.6944530243248,55
56,Egg,5,Lava,Handbag,None,None,None,None,None,19.029917015619557,56
57,Blue Punk,5,Russet,Lollipop,None,None,None,None,None,16.04539438528463,57
58,Black Emo,5,Purple,Pan,None,None,None,None,None,17.942419124485333,58
59,Green Punk,5,Aqua,None,None,Flip Flops,Missile,None,None,42.68065249541736,59
60,Purple Bandana,5,Zombie,None,None,None,Moon,None,None,21.766430732629452,60
61,Your Future,5,Red,Magic Wand,None,None,None,None,None,17.41909378445606,61
62,Shogun,5,Purple,None,None,None,Wind,None,None,19.305240532930075,62
63,Black Headband,5,Chip,None,None,None,Lightning,None,None,20.61897419196764,63
64,Pink Balaclava,5,Rotten,None,Diamond,None,Red Force,None,None,47.024728486748835,64
65,Egg,5,Robot,None,None,None,Missile,None,None,21.899981492191824,65
66,Sheriff,5,Chip,None,None,None,None,None,None,5.939255985749005,66
67,Green Cap,5,Chip,None,None,None,Yellow Force,None,None,20.270090450126855,67
68,Spiky,5,Lava,Pan,None,None,None,None,None,19.019016136578134,68
69,Pigsy,5,Rotten,None,None,None,Potato,None,None,21.98177107455722,69
70,None,5,Fries,Arm Cannon,None,None,Potato,None,None,32.035847009353446,70
71,Bunny,5,Green,Pan,None,None,None,None,None,17.827931540893825,71
72,Karen,5,Lava,Parrot,None,None,None,None,None,19.089878937567192,72
73,White Headband,5,Red,None,None,None,Brick,None,None,18.801025270293497,73
74,Brown Pirate,5,Pink,None,None,None,Flower,None,None,19.18804354506566,74
75,Black Cap,5,Hash Brown,None,None,None,Wind,None,None,21.139538865917658,75
76,Protection,5,Pink,None,None,None,Star,None,None,19.648676562145912,76
77,White Cap,5,Red,None,None,None,Blue Force,None,None,18.487578108827638,77
78,Wizard,5,Aqua,None,None,None,Blue Force,None,None,19.070829924969427,78
79,None,5,Aqua,None,None,None,Flower,None,None,16.386220242068934,79
80,Egg,5,Russet,None,None,None,Blue Force,None,None,17.244719794693143,80
81,Sailor,5,Lava,Portal Gun,None,None,None,None,None,18.83094734956733,81
82,Santa,5,Russet,Coffee,None,None,None,None,None,16.28252612511114,82
83,Bowl,5,Red,Power Sword,None,None,None,None,None,17.470883319663617,83
84,Tattoo,5,Lava,Cold Wallet,None,None,None,None,None,19.029916742524815,84
85,Pink Bob,5,Pink,Golden 3310,None,None,None,None,None,18.27222060184303,85
86,Pork Pie,5,Aqua,None,None,Boxing,None,None,None,27.653246617792654,86
87,Pink Punk,5,Pink,None,None,None,Brick,None,None,19.16897055219749,87
88,None,5,Red,Magic Wand,Tomato,None,Red Force,None,None,54.53798392269409,88
89,Skipper,5,Aqua,None,None,None,Missile,None,None,19.49330141482772,89
90,Skull,5,Lava,None,None,None,Wood,None,None,20.231921016400864,90
91,Sheriff,5,Purple,Beer,None,None,None,None,None,17.705290384830747,91
92,Green Punk,5,Red,None,None,School,None,None,None,27.179019947573817,92
93,None,5,Pink,Machete,Peach,None,None,None,None,40.63108580932857,93
94,Protection,5,Aqua,Notebook,None,None,None,None,None,18.24494004864779,94
95,Mask,5,Pink,None,None,None,Sound,None,None,19.556008732347195,95
96,Crown,5,Russet,None,None,Chucks,Ticket,None,None,40.7729182777668,96
97,Wizard,5,Aqua,None,None,None,None,None,None,4.663618414542866,97
98,Pink Balaclava,5,Lava,Life Donut,None,Gym Socks,None,None,None,42.04571665696754,98
99,Shogun,5,Pink,Walkie Talkie,None,None,None,None,None,18.108679063895522,99
100,Your Future,5,Green,Light Disc,None,None,None,None,None,17.691653652024446,100
101,Buns,5,Green,None,None,Basketball,None,None,None,27.484256550052503,101
102,Pork Pie,5,Zombie,None,None,None,Flower,None,None,21.04686858159225,102
103,Skipper,5,Purple,Pipe,None,None,None,None,None,17.82249146306904,103
104,Gat,5,Red,3310,None,None,None,None,None,17.41092112462124,104
105,Pigsy,5,Lava,None,None,None,Star,None,None,20.57807081239067,105
106,Pork Pie,5,Russet,None,None,None,Earth,None,None,17.438240930227064,106
107,None,5,Red,Monkey Staff,None,None,None,None,None,14.682664573457792,107
108,Pink Punk,5,Aqua,None,None,None,None,None,None,4.620005356993515,108
109,Skull,5,Alien,Arm Cannon,None,None,None,None,None,20.58624021456078,109
110,None,5,Red,None,None,School,Moon,None,None,39.35309434799368,110
111,Green Cap,5,Hash Brown,Flag,None,None,None,None,None,19.795793449908285,111
112,Clown,5,Green,None,None,None,Water,None,None,19.370647987643004,112
113,Pigsy,5,Aqua,None,None,None,Blood,None,None,19.70591026694301,113
114,Pork Pie,5,Aqua,None,None,None,Missile,None,None,19.327039292897073,114
115,Sheriff,5,Aqua,Memory Pen,None,None,None,None,None,18.007812127128457,115
116,Fez,5,Pink,None,None,None,Poop,None,None,19.31342682639708,116
117,Reindeer,5,Green,Cricket,None,None,None,None,None,17.702556984745943,117
118,Afro,5,Russet,Bo'oh'o'wa'er,None,None,None,None,None,16.19803368119638,118
119,Mountie,5,Aqua,None,None,Basketball,None,None,None,27.849471977386482,119
120,Bowl,5,Red,Wobbly Sausage,None,None,None,None,None,17.372757415362607,120
121,Black Headband,5,Hash Brown,None,None,None,Blue Force,None,None,20.84516824277429,121
122,Dreads,5,Green,Monk Staff,None,None,None,None,None,17.87427200005879,122
123,Rocker,5,Russet,Maracas,None,None,None,None,None,16.211662233496817,123
124,Spiky,5,Russet,None,None,None,Poop,None,None,17.530909032515794,124
125,Black Topper,5,Red,None,None,None,Wood,None,None,18.784668771336946,125
126,Pink Punk,5,Purple,None,None,None,Gas,None,None,19.25073150472748,126
127,Black Pirate,5,Aqua,None,None,None,Lightning,None,None,19.35157335941142,127
128,Beanie,5,Pink,None,None,None,None,None,None,4.49462643767937,128
129,Your Future,5,Hash Brown,None,None,None,None,None,None,6.533444399317825,129
130,Sailor,5,Russet,Red Light Sword,None,None,None,None,None,15.999053108710093,130
131,None,5,Chip,Sakura,None,None,None,None,None,16.527910135458022,131
132,Tattoo,5,Russet,Holy Book,None,None,None,None,None,16.315232032780806,132
133,Santa,5,Purple,None,None,None,Earth,None,None,19.248003012668022,133
134,Trucker,5,Red,None,None,None,Water,None,None,18.893695008731783,134
135,Soldier,5,Red,Pirate Gun,None,None,None,None,None,17.544472430675455,135
136,Sailor,5,Aqua,None,None,None,Poop,None,None,19.190764948937755,136
137,Straw Hat,5,Red,Beer,None,None,None,None,None,17.45725122233217,137
138,Cone,5,Purple,Parrot,None,None,None,None,None,17.890630134983475,138
139,None,5,Prototype,None,None,None,None,None,None,4.592853773274569,139
140,Bunny,5,Chip,None,None,None,Wood,None,None,20.78523331451251,140
141,White Headband,5,Lava,Umbrella,None,None,None,None,None,19.119868078532857,141
142,Trucker,5,Aqua,None,None,Flip Flops,None,None,None,28.122041933737467,142
143,Mask,5,Russet,Life Donut,None,None,None,None,None,16.353394106494612,143
144,Wizard,5,Aqua,None,None,None,Love,None,None,19.61051339962102,144
145,Robin Hood,5,Red,Pipe,None,None,None,None,None,17.356405825217546,145
146,Skull,5,Zombie,Wobbly Sausage,None,None,Earth,None,None,34.679492515776126,146
147,Cloak,5,Chip,Magic Potion,None,None,None,None,None,19.4169598290671,147
148,Cloak,5,Russet,Doll,None,None,None,None,None,16.367018023199247,148
149,Flower,5,Hash Brown,Monster Ball,None,None,None,None,None,20.00566917509399,149
150,Bow,5,Fries,Golden Ring,None,None,None,None,None,20.152866481941057,150
151,None,5,Fries,Pipe,None,None,Earth,None,None,31.858688371849997,151
152,Musketeer,5,Chip,None,None,None,Red Force,None,None,20.392747693502198,152
153,Sombrero,5,Chip,None,Blue Chip,None,Blue Force,None,None,45.923687381853554,153
154,Monkey,5,Green,Doll,None,None,None,None,None,17.991477986443375,154
155,Blue Punk,5,Russet,Sweeper,None,None,Red Force,None,None,30.53408329268722,155
156,None,5,Aqua,Throwing Star,None,None,None,None,None,15.265941745140285,156
157,Black Cap,5,Robot,None,None,None,Missile,None,None,21.73644922561733,157
158,Black Cap,5,Red,None,None,None,Yellow Force,None,None,18.244994840064606,158
159,Black Topper,5,Aqua,Throwing Bat,None,None,Gas,None,None,33.06328892298093,159
160,Flower,5,Aqua,Cricket,None,None,None,None,None,18.13319404540507,160
161,Flower,5,Fries,Chainsaw,None,None,None,None,None,19.997499785562674,161
162,Blue Headband,5,Pink,Pirate Sword,None,None,None,None,None,17.93696513926841,162
163,Trucker,5,Russet,Hammer,None,None,None,None,None,16.217106674004082,163
