,Theme rarity score,Asset rarity score,Rarity rarity score,Trait count rarity score,Rarity score,Token Id
0,5.0,5555.0,1111.0,101.0,6772.0,0
1,5.0,11.794055201698514,1111.0,101.0,1228.7940552016985,1
2,5.0,25.36529680365297,1111.0,101.0,1242.3652968036529,2
3,5.0,5555.0,1111.0,101.0,6772.0,3
4,5.0,66.13095238095238,1111.0,101.0,1283.1309523809523,4
5,5.0,5555.0,1.01,1.01,5562.02,5
6,5.0,15.303030303030303,1.01,1.01,22.323030303030308,6
7,5.0,11.794055201698514,1.01,1.01,18.814055201698515,7
8,5.0,11.313645621181262,1.01,1.01,18.333645621181265,8
9,5.0,23.242677824267783,1.01,1.01,30.262677824267787,9
10,5.0,18.273026315789473,1.01,1.01,25.293026315789476,10
11,5.0,37.03333333333333,1.01,1.01,44.05333333333333,11
12,5.0,11.313645621181262,1.01,1.01,18.333645621181265,12
13,5.0,18.273026315789473,1.01,1.01,25.293026315789476,13
14,5.0,11.794055201698514,1.01,1.01,18.814055201698515,14
15,5.0,396.7857142857143,1.01,1.01,403.80571428571426,15
16,5.0,44.08730158730159,1.01,1.01,51.107301587301585,16
17,5.0,15.1775956284153,1.01,1.01,22.197595628415304,17
18,5.0,25.36529680365297,1.01,1.01,32.38529680365297,18
19,5.0,25.481651376146786,1.01,1.01,32.50165137614679,19
20,5.0,11.794055201698514,1.01,1.01,18.814055201698515,20
21,5.0,15.303030303030303,1.01,1.01,22.323030303030308,21
22,5.0,15.560224089635854,1.01,1.01,22.580224089635855,22
23,5.0,25.36529680365297,1.01,1.01,32.38529680365297,23
24,5.0,18.273026315789473,1.01,1.01,25.293026315789476,24
25,5.0,11.794055201698514,1.01,1.01,18.814055201698515,25
26,5.0,18.273026315789473,1.01,1.01,25.293026315789476,26
27,5.0,15.303030303030303,1.01,1.01,22.323030303030308,27
28,5.0,25.481651376146786,1.01,1.01,32.50165137614679,28
29,5.0,23.242677824267783,1.01,1.01,30.262677824267787,29
30,5.0,135.4878048780488,1.01,1.01,142.50780487804877,30
31,5.0,11.794055201698514,1.01,1.01,18.814055201698515,31
32,5.0,15.560224089635854,1.01,1.01,22.580224089635855,32
33,5.0,58.473684210526315,1.01,1.01,65.49368421052633,33
34,5.0,15.1775956284153,1.01,1.01,22.197595628415304,34
35,5.0,129.18604651162792,1.01,1.01,136.2060465116279,35
36,5.0,15.013513513513514,1.01,1.01,22.03351351351352,36
37,5.0,25.481651376146786,1.01,1.01,32.50165137614679,37
38,5.0,15.303030303030303,1.01,1.01,22.323030303030308,38
39,5.0,146.18421052631578,1.01,1.01,153.20421052631576,39
40,5.0,1111.0,1.01,1.01,1118.02,40
41,5.0,15.560224089635854,1.01,1.01,22.580224089635855,41
42,5.0,15.560224089635854,1.01,1.01,22.580224089635855,42
43,5.0,25.36529680365297,1.01,1.01,32.38529680365297,43
