,Location rarity score,Underground rarity score,Region rarity score,Size rarity score,Trait count rarity score,Rarity score,Token Id
0,10000.0,2.941176470588235,3.125,100.0,1.0,10107.066176470587,1
1,10000.0,5.561735261401558,7.142857142857142,100.0,1.0,10113.704592404258,2
2,10000.0,3.8446751249519417,3.846153846153846,100.0,1.0,10108.690828971106,3
3,10000.0,2.941176470588235,7.142857142857142,100.0,1.0,10111.084033613444,4
4,10000.0,3.8446751249519417,5.0,100.0,1.0,10109.844675124952,5
5,10000.0,2.941176470588235,3.846153846153846,100.0,1.0,10107.787330316742,6
6,10000.0,5.561735261401558,3.846153846153846,100.0,1.0,10110.407889107555,7
7,10000.0,3.8446751249519417,3.125,100.0,1.0,10107.969675124952,8
8,10000.0,4.543389368468878,5.0,100.0,1.0,10110.54338936847,9
9,10000.0,4.543389368468878,3.125,100.0,1.0,10108.66838936847,10
10,10000.0,3.8446751249519417,3.125,100.0,1.0,10107.969675124952,11
11,10000.0,2.941176470588235,3.125,100.0,1.0,10107.066176470587,12
12,10000.0,4.543389368468878,3.846153846153846,100.0,1.0,10109.389543214624,13
13,10000.0,4.543389368468878,3.125,100.0,1.0,10108.66838936847,14
14,10000.0,4.543389368468878,5.0,100.0,1.0,10110.54338936847,15
15,10000.0,4.543389368468878,12.5,100.0,1.0,10118.04338936847,16
16,10000.0,2.941176470588235,5.0,100.0,1.0,10108.941176470587,17
17,10000.0,3.8446751249519417,3.125,100.0,1.0,10107.969675124952,18
18,10000.0,2.941176470588235,3.846153846153846,100.0,1.0,10107.787330316742,19
19,10000.0,2.941176470588235,3.846153846153846,100.0,1.0,10107.787330316742,20
20,10000.0,3.8446751249519417,7.142857142857142,100.0,1.0,10111.987532267809,21
21,10000.0,3.8446751249519417,12.5,100.0,1.0,10117.344675124952,22
22,10000.0,3.8446751249519417,3.846153846153846,100.0,1.0,10108.690828971106,23
23,10000.0,5.561735261401558,3.125,100.0,1.0,10109.6867352614,24
24,10000.0,3.8446751249519417,3.846153846153846,100.0,1.0,10108.690828971106,25
25,10000.0,4.543389368468878,3.125,100.0,1.0,10108.66838936847,26
26,10000.0,4.543389368468878,3.125,100.0,1.0,10108.66838936847,27
27,10000.0,2.941176470588235,7.142857142857142,100.0,1.0,10111.084033613444,28
28,10000.0,3.8446751249519417,5.0,100.0,1.0,10109.844675124952,29
29,10000.0,4.543389368468878,12.5,100.0,1.0,10118.04338936847,30
30,10000.0,3.8446751249519417,3.125,100.0,1.0,10107.969675124952,31
31,10000.0,5.561735261401558,3.125,100.0,1.0,10109.6867352614,32
32,10000.0,5.561735261401558,3.846153846153846,100.0,1.0,10110.407889107555,33
33,10000.0,2.941176470588235,3.125,100.0,1.0,10107.066176470587,34
34,10000.0,4.543389368468878,5.0,100.0,1.0,10110.54338936847,35
35,10000.0,3.8446751249519417,3.846153846153846,100.0,1.0,10108.690828971106,36
36,10000.0,3.8446751249519417,3.125,100.0,1.0,10107.969675124952,37
37,10000.0,2.941176470588235,3.846153846153846,100.0,1.0,10107.787330316742,38
38,10000.0,5.561735261401558,3.125,100.0,1.0,10109.6867352614,39
